%time,field.finger1,field.finger2,field.finger3
1503852809622673108,19056.0,14047.0,14047.0
1503852809656826167,19068.0,14054.0,14054.0
1503852809689860780,19069.0,14047.0,14047.0
1503852809723287953,19055.0,14046.0,14046.0
1503852809757055090,19057.0,14050.0,14050.0
1503852809790109924,19057.0,14046.0,14046.0
1503852809823388797,19059.0,14052.0,14052.0
1503852809856215448,19067.0,14048.0,14048.0
1503852809890540957,19043.0,14046.0,14046.0
1503852809923799458,19051.0,14051.0,14051.0
1503852809956221531,19037.0,14051.0,14051.0
1503852809990351550,19068.0,14051.0,14051.0
1503852810023663009,19040.0,14052.0,14052.0
1503852810057320911,19039.0,14048.0,14048.0
1503852810091020217,19046.0,14044.0,14044.0
1503852810123674387,19059.0,14059.0,14059.0
1503852810156665968,19055.0,14046.0,14046.0
1503852810189992710,19049.0,14056.0,14056.0
1503852810223204743,19077.0,14049.0,14049.0
1503852810256513497,19064.0,14051.0,14051.0
1503852810290502918,19049.0,14048.0,14048.0
1503852810323367755,19065.0,14048.0,14048.0
1503852810356190243,19050.0,14045.0,14045.0
1503852810390506247,19046.0,14053.0,14053.0
1503852810423303705,19065.0,14056.0,14056.0
1503852810456099704,19045.0,14050.0,14050.0
1503852810490245235,19064.0,14050.0,14050.0
1503852810524542544,19040.0,14051.0,14051.0
1503852810557457641,19046.0,14055.0,14055.0
1503852810591342684,19047.0,14051.0,14051.0
1503852810623520673,19044.0,14054.0,14054.0
1503852810657313291,19039.0,14050.0,14050.0
1503852810689811917,19037.0,14050.0,14050.0
1503852810723295487,19039.0,14050.0,14050.0
1503852810757293993,19052.0,14058.0,14058.0
1503852810790222020,19051.0,14048.0,14048.0
1503852810824617454,19054.0,14046.0,14046.0
1503852810856100365,19039.0,14051.0,14051.0
1503852810890516046,19067.0,14042.0,14042.0
1503852810924181002,19044.0,14051.0,14051.0
1503852810956609002,19064.0,14054.0,14054.0
1503852810989835869,19055.0,14047.0,14047.0
1503852811023616835,19055.0,14049.0,14049.0
1503852811056604199,19041.0,14048.0,14048.0
1503852811090687253,19061.0,14051.0,14051.0
1503852811124490987,19045.0,14049.0,14049.0
1503852811156446303,19049.0,14050.0,14050.0
1503852811191027983,19049.0,14051.0,14051.0
1503852811224550573,19048.0,14051.0,14051.0
1503852811256048154,19062.0,14050.0,14050.0
1503852811290412683,19044.0,14053.0,14053.0
1503852811323843659,19041.0,14086.0,14086.0
1503852811356620278,19046.0,14050.0,14050.0
1503852811390671057,19060.0,14053.0,14053.0
1503852811423596074,19070.0,14042.0,14042.0
1503852811456247639,19039.0,14050.0,14050.0
1503852811490523091,19054.0,14050.0,14050.0
1503852811522994171,19060.0,14050.0,14050.0
1503852811556693462,19057.0,14050.0,14050.0
1503852811590406686,19050.0,14044.0,14044.0
1503852811623297370,19060.0,14053.0,14053.0
1503852811656444533,19054.0,14054.0,14054.0
